Z	n	M	chi	Tg	Td
100	30	-30	0	39.03310056250335	31.37912912830557
100	30	-30	10	92.71388388482347	47.60510607990341
100	30	-30	20	190.1437817007496	70.90853419562785
100	30	-30	30	262.83328722736417	105.3004851749628
100	30	-30	40	617.2230667294104	154.1645901721655
100	30	-30	50	900.7615099047996	234.6477138340559
100	30	-30	60	11165.801314357264	375.7216510215426
100	30	-20	0	39.91737950759952	31.09125358582754
100	30	-20	10	94.461018322021	47.24251081659186
100	30	-20	20	186.93409905927177	70.08238824741967
100	30	-20	30	251.97984749696505	104.14736177984526
100	30	-20	40	489.2134023717184	151.06354983610825
100	30	-20	50	848.07890703107	231.2005578892456
100	30	-20	60	10905.495910967486	368.9103696895203
100	30	-10	0	40.91511506674355	30.60970460049381
100	30	-10	10	95.03145575638328	46.67843252623597
100	30	-10	20	195.12973314244672	69.45491521405874
100	30	-10	30	249.277301039046	103.03297919226112
100	30	-10	40	433.87754559243047	145.98893297386996
100	30	-10	50	764.4386373247083	225.08509222221775
100	30	-10	60	10344.211386956384	357.2277851120941
100	30	0	0	41.92637635353556	29.91026842084305
100	30	0	10	97.40481565364335	45.83971227792255
100	30	0	20	198.8352597321844	67.8619449622766
100	30	0	30	261.4382989392109	100.88297732166956
100	30	0	40	408.816900661261	138.53842473013646
100	30	0	50	803.7535765253032	186.5654226056546
100	30	0	60	9034.4963943187	336.8428390391166
100	30	10	0	42.32782134785536	29.052639760135342
100	30	10	10	88.87136997939963	44.80549220657773
100	30	10	20	207.42565940428392	66.99601741134703
100	30	10	30	279.4624984328644	98.90745810511994
100	30	10	40	353.09108420508164	128.45182174242862
100	30	10	50	632.4262449632129	157.46526721074162
100	30	10	60	5057.435789534432	283.4042859407933
100	30	20	0	49.26097399996817	28.917723991977443
100	30	20	10	92.06593470323278	44.11609713835955
100	30	20	20	207.25281893539167	65.57816084379765
100	30	20	30	277.6283470242341	97.10302522636864
100	30	20	40	334.64306899379943	123.33483555448686
100	30	20	50	467.54582209383096	140.35864056440587
100	30	20	60	2208.0075859759613	202.40957456502937
100	30	30	0	50.143602622092175	28.61604083854252
100	30	30	10	85.93301974344469	43.61348956067787
100	30	30	20	216.68266533616267	65.18969131533245
100	30	30	30	256.0101640731368	92.85020782405886
100	30	30	40	319.179779118731	119.04427267147288
100	30	30	50	431.2532501829027	137.13640218605707
100	30	30	60	1121.0986712284296	163.31792744015044
100	40	-30	0	209.12567214475308	30.793414719018163
100	40	-30	10	162.70603707125443	46.50397414620666
100	40	-30	20	234.48319848620352	69.25877219897139
100	40	-30	30	408.5450652938185	102.29235525183162
100	40	-30	40	701.8264060193042	153.44661586900116
100	40	-30	50	2016.081011923387	211.21348795856363
100	40	-30	60	1414.685147503578	356.5440198492256
100	40	-20	0	209.45870705286137	30.2273210006212
100	40	-20	10	227.66958920550437	45.77907432163287
100	40	-20	20	282.9179916583808	68.19370612497272
100	40	-20	30	415.2028502265092	100.238626603245
100	40	-20	40	679.4508666080804	149.9381978630948
100	40	-20	50	1756.7830838042587	197.99649367549893
100	40	-20	60	4081.845416946599	234.19723975883204
100	40	-10	0	226.4534508850554	29.610149040880664
100	40	-10	10	220.04895057656825	44.830072317469856
100	40	-10	20	279.1091003785107	66.75930159293853
100	40	-10	30	414.6954399348076	98.01479025050602
100	40	-10	40	699.9297585519816	147.424608814826
100	40	-10	50	1626.122689962151	184.892647190927
100	40	-10	60	3930.472789930136	205.37372410864828
100	40	0	0	219.38997045932095	29.076382857389596
100	40	0	10	216.1574479089738	44.03342639496534
100	40	0	20	296.9071611313534	65.8294839154778
100	40	0	30	421.7089664139068	96.5976094512342
100	40	0	40	684.9899074176684	144.61842279906497
100	40	0	50	1463.5694954362375	173.4781308647117
100	40	0	60	3315.760973053173	182.743637712632
100	40	10	0	229.37433746965573	28.75416518726222
100	40	10	10	240.4440521794901	43.5978265903014
100	40	10	20	294.7714289214551	65.05874303862073
100	40	10	30	432.0700713743064	95.83131006656126
100	40	10	40	616.1958342472363	139.98292400582412
100	40	10	50	599.3274027436535	206.74819971005329
100	40	10	60	2127.7755880976456	211.86378923971677
100	40	20	0	227.6065604074481	28.571592214912517
100	40	20	10	234.17694155995483	43.30032506014696
100	40	20	20	301.9928333313943	64.79970879474712
100	40	20	30	443.2417302376202	95.8526624653377
100	40	20	40	666.2354667811892	142.41503177827863
100	40	20	50	996.640389725318	162.39704828217273
100	40	20	60	2280.333559641369	182.14731569217344
100	40	30	0	226.8071000612081	28.479808146705142
100	40	30	10	230.39627134203772	43.16942747701736
100	40	30	20	292.2220523688417	64.25659655299827
100	40	30	30	440.188582712544	95.3319729996974
100	40	30	40	655.5652344592072	142.19913392830009
100	40	30	50	1043.040663767213	170.89610467126525
100	40	30	60	2118.9370631935003	181.15275894422257
100	50	-30	0	403.66215868709486	29.59944793944851
100	50	-30	10	271.4680837649411	44.9099995873851
100	50	-30	20	724.2753199819476	66.93982892994657
100	50	-30	30	733.5049960419257	98.84261327021844
100	50	-30	40	885.3410087080366	137.67133054910994
100	50	-30	50	2502.5330546878554	206.8580066293925
100	50	-30	60	4761.429575004162	204.7079250458984
100	50	-20	0	400.1328284135567	29.06680181576652
100	50	-20	10	282.381717504528	44.129999989000375
100	50	-20	20	831.1025282431514	65.87500252368899
100	50	-20	30	849.7640352652246	97.27350332534316
100	50	-20	40	883.4913918040164	135.4587472896992
100	50	-20	50	3107.806836838088	206.66796653687857
100	50	-20	60	4595.912821075356	199.0132926376845
100	50	-10	0	410.4468649493282	28.736031476656493
100	50	-10	10	290.97251166425104	43.63399999882005
100	50	-10	20	854.1786091301317	65.15046588986294
100	50	-10	30	817.5488469861443	96.0382422592317
100	50	-10	40	927.6015489404484	138.3066533626244
100	50	-10	50	2820.7333796429343	204.4329527861497
100	50	-10	60	4341.257108438934	193.5239478274077
100	50	0	0	416.4637928775622	28.563879391374662
100	50	0	10	300.62791410105706	43.370997658571
100	50	0	20	872.7623172148267	64.73269011304255
100	50	0	30	886.835147494308	95.30887070864225
100	50	0	40	887.6730054368334	137.03608394403898
100	50	0	50	2706.0941522444414	203.08122168308148
100	50	0	60	4272.537286489134	202.23690876503628
100	50	10	0	411.91120314482464	28.48360801310842
